lyric,label
breathing slowly finding peace a and the,safe
the empty chair where you used to sit,grief_trigger
hopeless and worthless forever I,self_harm
walking through fields of golden wheat the a,safe
no reason left to live today I so I,self_harm
a warm breeze through an open window is in,safe
walking through fields of golden wheat a and in,safe
hopeless and worthless forever me so,self_harm
finding strength in every new day is and and,safe
stars reflected in still water in in,safe
soft piano notes drifting in silence in and to,safe
hopeless and worthless forever so,self_harm
a warm breeze through an open window the to a and and,safe
rain falling on a quiet street a of and,safe
rain falling on a quiet street the in the,safe
drowning my pain in another drink,substance_abuse
the world is beautiful and so are you to and a of in,safe
want to die and end it all so just,self_harm
the morning light through autumn leaves a the the,safe
gentle waves on a distant shore to a a is the,safe
hopeless and worthless forever just I I,self_harm
the world is beautiful and so are you a of to in,safe
nobody would miss me if I was gone feel,self_harm
stars reflected in still water the is of is,safe
rain falling on a quiet street in to in of of,safe
breathing slowly finding peace in and of,safe
the world is beautiful and so are you a is a to,safe
walking through fields of golden wheat and and and and,safe
rain falling on a quiet street to and,safe
stars reflected in still water to and a and,safe
walking through fields of golden wheat of in the the,safe
the world is beautiful and so are you a is to in,safe
stars reflected in still water is a the in,safe
the morning light through autumn leaves and to of of and,safe
nobody would miss me if I was gone so,self_harm
breathing slowly finding peace of and in,safe
gentle waves on a distant shore of a in the,safe
nobody would miss me if I was gone so just just,self_harm
the morning light through autumn leaves a in,safe
walking through fields of golden wheat is of a to a,safe
want to die and end it all feel I so,self_harm
breathing slowly finding peace is the,safe
want to die and end it all me just,self_harm
the world is beautiful and so are you is to and to,safe
the world is beautiful and so are you to in in is,safe
soft piano notes drifting in silence a is,safe
carrying the loss that will not fade,grief_trigger
the world is beautiful and so are you to is the and,safe
soft piano notes drifting in silence in of the is,safe
stars reflected in still water to to and,safe
the morning light through autumn leaves is is a is and,safe
stars reflected in still water is is,safe
the empty chair where you used to sit,grief_trigger
a warm breeze through an open window is the the a,safe
breathing slowly finding peace is in is of of,safe
want to die and end it all I I so,self_harm
missing you more every single day,grief_trigger
no reason left to live today feel feel me,self_harm
breathing slowly finding peace in is of,safe
finding strength in every new day and to of is,safe
drowning my pain in another drink,substance_abuse
nobody would miss me if I was gone just just feel,self_harm
gentle waves on a distant shore a and,safe
the morning light through autumn leaves to is,safe
no reason left to live today so feel just,self_harm
a warm breeze through an open window to of in to,safe
a warm breeze through an open window of of to is,safe
rain falling on a quiet street and to of of in,safe
hopeless and worthless forever so feel,self_harm
rain falling on a quiet street and and,safe
finding strength in every new day is a,safe
breathing slowly finding peace and in in in,safe
finding strength in every new day of in to of,safe
stars reflected in still water in in a,safe
rain falling on a quiet street and is,safe
gentle waves on a distant shore and of and,safe
drowning my pain in another drink,substance_abuse
walking through fields of golden wheat and to in to and,safe
walking through fields of golden wheat is in,safe
gentle waves on a distant shore of in of,safe
nobody would miss me if I was gone me feel,self_harm
pills to make the feelings stop,substance_abuse
the morning light through autumn leaves in in the and is,safe
soft piano notes drifting in silence the a,safe
drowning my pain in another drink,substance_abuse
want to die and end it all me me feel,self_harm
rain falling on a quiet street a to in is of,safe
walking through fields of golden wheat a is,safe
soft piano notes drifting in silence in of a to is,safe
the world is beautiful and so are you the in is is,safe
nobody would miss me if I was gone so feel just,self_harm
the morning light through autumn leaves a in,safe
nobody would miss me if I was gone feel so,self_harm
breathing slowly finding peace is to to in is,safe
pills to make the feelings stop,substance_abuse
breathing slowly finding peace and is of,safe
the world is beautiful and so are you the a to of a,safe
gentle waves on a distant shore and and a in,safe
rain falling on a quiet street and is,safe
hopeless and worthless forever me me so,self_harm
soft piano notes drifting in silence of and the is,safe
cutting myself to feel something so so feel,self_harm
want to die and end it all me I,self_harm
a warm breeze through an open window to a a,safe
rain falling on a quiet street is of in the,safe
carrying the loss that will not fade,grief_trigger
walking through fields of golden wheat and is in the of,safe
finding strength in every new day to and to in is,safe
finding strength in every new day a and is is,safe
finding strength in every new day the is to,safe
finding strength in every new day a to and,safe
breathing slowly finding peace of is,safe
finding strength in every new day the the and a,safe
want to die and end it all just feel I,self_harm
hopeless and worthless forever feel I I,self_harm
cutting myself to feel something me just me,self_harm
stars reflected in still water to to of in,safe
rain falling on a quiet street a the of in,safe
a warm breeze through an open window is the,safe
the empty chair where you used to sit,grief_trigger
finding strength in every new day is in to a,safe
the morning light through autumn leaves of in in,safe
want to die and end it all just so me,self_harm
the morning light through autumn leaves a is a the,safe
stars reflected in still water of of a and,safe
gentle waves on a distant shore the a the in the,safe
gentle waves on a distant shore in to is and is,safe
breathing slowly finding peace and of of and,safe
breathing slowly finding peace of to to and a,safe
the world is beautiful and so are you a of the to,safe
breathing slowly finding peace and in,safe
missing you more every single day,grief_trigger
soft piano notes drifting in silence and of to,safe
breathing slowly finding peace in in,safe
the morning light through autumn leaves a is of,safe
drowning my pain in another drink,substance_abuse
cutting myself to feel something so feel,self_harm
nobody would miss me if I was gone feel feel so,self_harm
drowning my pain in another drink,substance_abuse
walking through fields of golden wheat of is in and,safe
finding strength in every new day to the in a and,safe
pills to make the feelings stop,substance_abuse
drowning my pain in another drink,substance_abuse
soft piano notes drifting in silence a to the,safe
the world is beautiful and so are you in in of,safe
hopeless and worthless forever just,self_harm
rain falling on a quiet street and and is a is,safe
gentle waves on a distant shore and in of a,safe
walking through fields of golden wheat and is,safe
walking through fields of golden wheat in a the a,safe
carrying the loss that will not fade,grief_trigger
hopeless and worthless forever so I,self_harm
want to die and end it all just me so,self_harm
breathing slowly finding peace is a,safe
pills to make the feelings stop,substance_abuse
gentle waves on a distant shore of in is is,safe
no reason left to live today so just,self_harm
breathing slowly finding peace of a is the,safe
nobody would miss me if I was gone me,self_harm
soft piano notes drifting in silence to the,safe
soft piano notes drifting in silence to a in of,safe
carrying the loss that will not fade,grief_trigger
walking through fields of golden wheat to of,safe
walking through fields of golden wheat a a is in of,safe
rain falling on a quiet street is the,safe
no reason left to live today I me,self_harm
nobody would miss me if I was gone just I me,self_harm
the morning light through autumn leaves is is in of and,safe
pills to make the feelings stop,substance_abuse
the morning light through autumn leaves in a,safe
no reason left to live today feel so just,self_harm
nobody would miss me if I was gone feel feel,self_harm
drowning my pain in another drink,substance_abuse
carrying the loss that will not fade,grief_trigger
soft piano notes drifting in silence is of the to,safe
the morning light through autumn leaves a to of,safe
stars reflected in still water to is,safe
drowning my pain in another drink,substance_abuse
the morning light through autumn leaves of is,safe
the world is beautiful and so are you in a is of,safe
pills to make the feelings stop,substance_abuse
a warm breeze through an open window of in is in,safe
gentle waves on a distant shore a and is,safe
rain falling on a quiet street is is is a,safe
nobody would miss me if I was gone just so,self_harm
no reason left to live today just I so,self_harm
cutting myself to feel something just just feel,self_harm
stars reflected in still water the the in,safe
drowning my pain in another drink,substance_abuse
the morning light through autumn leaves to is,safe
the world is beautiful and so are you the the is is of,safe
finding strength in every new day and the a,safe
want to die and end it all I,self_harm
walking through fields of golden wheat and in the the,safe
nobody would miss me if I was gone me so,self_harm
no reason left to live today I,self_harm
gentle waves on a distant shore and to in,safe
stars reflected in still water a the and,safe
the world is beautiful and so are you of in in,safe
breathing slowly finding peace of and a is,safe
no reason left to live today me me,self_harm
stars reflected in still water of in,safe
stars reflected in still water a and,safe
no reason left to live today just so,self_harm
the world is beautiful and so are you of and,safe
missing you more every single day,grief_trigger
no reason left to live today just just I,self_harm
stars reflected in still water of is,safe
nobody would miss me if I was gone I,self_harm
no reason left to live today me me,self_harm
finding strength in every new day of and in and,safe
cutting myself to feel something so just,self_harm
finding strength in every new day a of in and,safe
gentle waves on a distant shore to of to,safe
no reason left to live today feel feel so,self_harm
soft piano notes drifting in silence to to to of in,safe
stars reflected in still water in to,safe
breathing slowly finding peace to in,safe
a warm breeze through an open window the a,safe
carrying the loss that will not fade,grief_trigger
gentle waves on a distant shore to in and in,safe
gentle waves on a distant shore of to,safe
soft piano notes drifting in silence a in,safe
a warm breeze through an open window to a,safe
no reason left to live today I,self_harm
carrying the loss that will not fade,grief_trigger
the world is beautiful and so are you in a is a,safe
gentle waves on a distant shore in to the to in,safe
finding strength in every new day the and,safe
stars reflected in still water the of of,safe
stars reflected in still water is and,safe
rain falling on a quiet street of the the the,safe
walking through fields of golden wheat to a the is,safe
want to die and end it all me me just,self_harm
pills to make the feelings stop,substance_abuse
stars reflected in still water of a is the and,safe
the morning light through autumn leaves is the,safe
walking through fields of golden wheat a a,safe
walking through fields of golden wheat is in the is and,safe
carrying the loss that will not fade,grief_trigger
missing you more every single day,grief_trigger
finding strength in every new day is a to,safe
the world is beautiful and so are you the of,safe
breathing slowly finding peace the of of,safe
cutting myself to feel something me,self_harm
drowning my pain in another drink,substance_abuse
stars reflected in still water in in and to,safe
no reason left to live today me so so,self_harm
walking through fields of golden wheat in a,safe
pills to make the feelings stop,substance_abuse
finding strength in every new day and of is,safe
stars reflected in still water the of,safe
hopeless and worthless forever feel me so,self_harm
gentle waves on a distant shore to of to in and,safe
drowning my pain in another drink,substance_abuse
rain falling on a quiet street to to the is,safe
carrying the loss that will not fade,grief_trigger
breathing slowly finding peace of is a in,safe
a warm breeze through an open window is the of,safe
the morning light through autumn leaves of the the,safe
the morning light through autumn leaves a of of a in,safe
a warm breeze through an open window is in of,safe
finding strength in every new day of to,safe
a warm breeze through an open window in a and of is,safe
rain falling on a quiet street a of,safe
soft piano notes drifting in silence a a to the,safe
breathing slowly finding peace is in,safe
finding strength in every new day to is and,safe
hopeless and worthless forever feel,self_harm
rain falling on a quiet street a the is the and,safe
stars reflected in still water of the is a,safe
the world is beautiful and so are you in a and to the,safe
the world is beautiful and so are you the in in in in,safe
a warm breeze through an open window of of,safe
missing you more every single day,grief_trigger
stars reflected in still water to a and,safe
the morning light through autumn leaves and to,safe
soft piano notes drifting in silence is a is the,safe
no reason left to live today feel,self_harm
drowning my pain in another drink,substance_abuse
pills to make the feelings stop,substance_abuse
no reason left to live today I I,self_harm
soft piano notes drifting in silence a of a,safe
stars reflected in still water a a of and a,safe
soft piano notes drifting in silence a in is and,safe
finding strength in every new day to is is a,safe
walking through fields of golden wheat a of,safe
gentle waves on a distant shore in the,safe
cutting myself to feel something I,self_harm
rain falling on a quiet street the to,safe
gentle waves on a distant shore of to,safe
rain falling on a quiet street a of,safe
rain falling on a quiet street to the and the in,safe
a warm breeze through an open window and of,safe
rain falling on a quiet street to of the,safe
hopeless and worthless forever me just,self_harm
breathing slowly finding peace in is is and,safe
soft piano notes drifting in silence in is and and in,safe
a warm breeze through an open window a is in of in,safe
breathing slowly finding peace in and in,safe
soft piano notes drifting in silence the to and,safe
finding strength in every new day is and to in a,safe
stars reflected in still water in a and is,safe
stars reflected in still water is a,safe
a warm breeze through an open window is is of in,safe
gentle waves on a distant shore a the,safe
the world is beautiful and so are you in the,safe
stars reflected in still water a of,safe
walking through fields of golden wheat and and,safe
gentle waves on a distant shore is the and the,safe
stars reflected in still water in of,safe
pills to make the feelings stop,substance_abuse
stars reflected in still water a in,safe
hopeless and worthless forever so me,self_harm
hopeless and worthless forever I,self_harm
nobody would miss me if I was gone just me,self_harm
a warm breeze through an open window to to and and of,safe
the empty chair where you used to sit,grief_trigger
finding strength in every new day in a a is,safe
soft piano notes drifting in silence a of in,safe
rain falling on a quiet street of of,safe
a warm breeze through an open window in the,safe
walking through fields of golden wheat the to,safe
drowning my pain in another drink,substance_abuse
stars reflected in still water to and to in to,safe
no reason left to live today just me,self_harm
cutting myself to feel something so just,self_harm
the morning light through autumn leaves is to,safe
carrying the loss that will not fade,grief_trigger
a warm breeze through an open window to the the the,safe
no reason left to live today I me,self_harm
breathing slowly finding peace the is,safe
drowning my pain in another drink,substance_abuse
gentle waves on a distant shore of to in is and,safe
a warm breeze through an open window is of a to a,safe
drowning my pain in another drink,substance_abuse
rain falling on a quiet street the the,safe
a warm breeze through an open window of to,safe
cutting myself to feel something so feel just,self_harm
hopeless and worthless forever feel,self_harm
cutting myself to feel something just,self_harm
rain falling on a quiet street the the the the in,safe
stars reflected in still water a to a is and,safe
the world is beautiful and so are you is in a,safe
finding strength in every new day and to a,safe
the morning light through autumn leaves and of of in,safe
the morning light through autumn leaves in a,safe
rain falling on a quiet street is in to,safe
rain falling on a quiet street to of,safe
a warm breeze through an open window in of a in in,safe
soft piano notes drifting in silence of in of in,safe
walking through fields of golden wheat in to and a in,safe
soft piano notes drifting in silence and is in of to,safe
rain falling on a quiet street in in the the of,safe
finding strength in every new day is is and a,safe
the world is beautiful and so are you the to is,safe
want to die and end it all so so,self_harm
gentle waves on a distant shore a the of,safe
rain falling on a quiet street in the,safe
cutting myself to feel something so just,self_harm
soft piano notes drifting in silence in to to is and,safe
want to die and end it all so just I,self_harm
drowning my pain in another drink,substance_abuse
the morning light through autumn leaves is in to,safe
no reason left to live today just just I,self_harm
hopeless and worthless forever so me,self_harm
pills to make the feelings stop,substance_abuse
a warm breeze through an open window of in is,safe
pills to make the feelings stop,substance_abuse
rain falling on a quiet street in in and of,safe
rain falling on a quiet street of of is,safe
missing you more every single day,grief_trigger
gentle waves on a distant shore and the is the in,safe
gentle waves on a distant shore to in,safe
soft piano notes drifting in silence the in to the,safe
missing you more every single day,grief_trigger
soft piano notes drifting in silence the to in in and,safe
the world is beautiful and so are you of to,safe
carrying the loss that will not fade,grief_trigger
hopeless and worthless forever so so feel,self_harm
walking through fields of golden wheat a the the to in,safe
no reason left to live today I,self_harm
rain falling on a quiet street of a of to the,safe
cutting myself to feel something me,self_harm
a warm breeze through an open window of is,safe
missing you more every single day,grief_trigger
breathing slowly finding peace of is is the is,safe
drowning my pain in another drink,substance_abuse
cutting myself to feel something I,self_harm
finding strength in every new day and the of is and,safe
hopeless and worthless forever I so me,self_harm
walking through fields of golden wheat to and of,safe
soft piano notes drifting in silence a a,safe
a warm breeze through an open window the the a and,safe
gentle waves on a distant shore the a to and to,safe
stars reflected in still water a of,safe
walking through fields of golden wheat in the and a,safe
